code,name,category,selected_variant,return_2025,drawdown_2025,return_2026,drawdown_2026,avg_return_25_26
159819,人工智能ETF易方达,科技,original,43.53%,-12.21%,25.16%,-5.07%,34.34
159915,创业板ETF,宽基,original,50.76%,-6.01%,11.39%,-6.68%,31.08
512400,有色金属ETF南方,有色金属,original,47.85%,-6.41%,5.09%,-3.94%,26.47
588080,科创板50ETF,宽基,original,21.60%,-12.56%,27.76%,-7.51%,24.68
515880,通信ETF国泰,通信,original,16.76%,-7.62%,31.91%,-10.07%,24.34
588200,科创芯片ETF嘉实,科技,original,-1.18%,-5.02%,31.77%,-13.70%,15.3
510500,中证500ETF,宽基,original,19.62%,-10.61%,9.88%,-5.62%,14.75
512660,军工ETF,军工,original,21.21%,-13.18%,6.90%,-4.86%,14.06
159530,机器人ETF易方达,机器人,original,5.80%,-11.15%,13.97%,-6.38%,9.88
515700,新能车ETF,新能源,original,6.02%,-9.09%,11.45%,-7.59%,8.74
